Symbol,Company Name,Industry,Market Cap
A,Agilent Technologies,Diagnostics & Research,31897835612
AA,Alcoa,Aluminum,4734278500
AAC,Ares Acquisition,Shell Companies,760408343
AACG,ATA Creativity Global,Education & Training Services,31257407
AACI,Armada Acquisition I,Shell Companies,86379495
AACT,Ares Acquisition Corporation II,Shell Companies,639444992
AADI,Aadi Bioscience,Biotechnology,119166714
AAIC,Arlington Asset Investment,REIT - Mortgage,130879812
AAL,American Airlines Group,Airlines,7829421084
AAMC,Altisource Asset Management,Asset Management,6493949
AAME,Atlantic American,Insurance - Life,38356324
AAN,The Aaron's Company,Rental & Leasing Services,226559871
AAOI,Applied Optoelectronics,Semiconductors,315753475
AAON,"AAON, Inc.",Building Products & Equipment,4722741996
AAP,Advance Auto Parts,Specialty Retail,3398132942
AAPL,Apple,Consumer Electronics,2761781350861
AAT,American Assets Trust,REIT - Diversified,1534278630
AAU,Almaden Minerals,Gold,19555105
AB,AllianceBernstein Holding L.P.,Asset Management,3222122000
ABAT,American Battery Technology Company,Other Industrial Metals & Mining,214022428
ABBV,AbbVie,Drug Manufacturers - General,249613368737
ABCB,Ameris Bancorp,Banks - Regional,2892754673
ABCL,AbCellera Biologics,Biotechnology,1359973200
ABCM,Abcam,Biotechnology,5341804896
ABEO,Abeona Therapeutics,Biotechnology,111153991
ABEV,Ambev,Beverages - Brewers,42506098790
ABG,Asbury Automotive Group,Auto & Truck Dealerships,4321665548
ABIO,ARCA biopharma,Biotechnology,27397923
ABL,Abacus Life,Insurance - Life,401066016
ABLV,Able View,Advertising Agencies,34450966
ABM,ABM Industries,Specialty Business Services,2677645692
ABNB,Airbnb,Travel Services,78254613175
ABOS,Acumen Pharmaceuticals,Biotechnology,126732015
ABR,Arbor Realty Trust,REIT - Mortgage,2429790780
ABSI,Absci,Biotechnology,131649620
ABT,Abbott Laboratories,Medical Devices,166316902400
ABUS,Arbutus Biopharma,Biotechnology,321709425
ABVC,ABVC BioPharma,Biotechnology,4623126
ABVX,Abivax,Biotechnology,635236470
AC,Associated Capital Group,Capital Markets,718262897
ACA,Arcosa,Infrastructure Operations,3299223388
ACAB,Atlantic Coastal Acquisition Corp. II,Shell Companies,115918420
ACAC,Acri Capital Acquisition,Shell Companies,63567331
ACAD,ACADIA Pharmaceuticals,Biotechnology,3940956837
ACAH,Atlantic Coastal Acquisition,Shell Companies,126803768
ACAX,Alset Capital Acquisition,Shell Companies,48593722
ACB,Aurora Cannabis,Drug Manufacturers - Specialty & Generic,210711760
ACBA,Ace Global Business Acquisition,Shell Companies,40359978
ACCD,Accolade,Health Information Services,553445772
ACCO,ACCO Brands,Business Equipment & Supplies,479332870
ACDC,ProFrac Holding,Oil & Gas Equipment & Services,1534906440
ACEL,Accel Entertainment,Gambling,888692004
ACER,Acer Therapeutics,Biotechnology,20796591
ACET,Adicet Bio,Biotechnology,71059230
ACGL,Arch Capital Group,Insurance - Diversified,31901595000
ACHC,Acadia Healthcare Company,Medical Care Facilities,6658490832
ACHL,Achilles Therapeutics,Biotechnology,35348854
ACHR,Archer Aviation,Aerospace & Defense,1620257744
ACHV,Achieve Life Sciences,Biotechnology,90332824
ACI,Albertsons Companies,Grocery Stores,12640851174
ACIC,American Coastal Insurance,Insurance - Property & Casualty,322944360
ACIU,AC Immune,Biotechnology,227205125
ACIW,ACI Worldwide,Software - Infrastructure,2616053550
ACLS,Axcelis Technologies,Semiconductor Equipment & Materials,4302702425
ACLX,Arcellx,Biotechnology,2158262170
ACM,AECOM,Engineering & Construction,10960820902
ACMR,ACM Research,Semiconductor Equipment & Materials,906039607
ACN,Accenture,Information Technology Services,196750095912
ACNB,ACNB Corporation,Banks - Regional,308054033
ACNT,Ascent Industries Co.,Steel,86382950
ACON,Aclarion,Health Information Services,2734998
ACOR,Acorda Therapeutics,Drug Manufacturers - Specialty & Generic,12731525
ACR,ACRES Commercial Realty,REIT - Mortgage,65388246
ACRE,Ares Commercial Real Estate,REIT - Mortgage,539738911
ACRO,Acropolis Infrastructure Acquisition,Shell Companies,171245740
ACRS,Aclaris Therapeutics,Diagnostics & Research,380167002
ACRV,Acrivon Therapeutics,Biotechnology,126919175
ACRX,AcelRx Pharmaceuticals,Drug Manufacturers - Specialty & Generic,8420054
ACST,Acasti Pharma,Biotechnology,22558560
ACT,Enact Holdings,Insurance - Specialty,4516630620
ACTG,Acacia Research,Specialty Business Services,371577051
ACU,Acme United,Household & Personal Products,118065451
ACVA,ACV Auctions,Auto & Truck Dealerships,2364750180
ACXP,Acurx Pharmaceuticals,Biotechnology,42656728
ADAG,Adagene,Biotechnology,59176845
ADAP,Adaptimmune Therapeutics,Biotechnology,126656320
ADBE,Adobe,Software - Infrastructure,256634398000
ADC,Agree Realty,REIT - Retail,5928669600
ADCT,ADC Therapeutics,Biotechnology,64513997
ADD,Color Star Technology Co.,Entertainment,3311369
ADEA,Adeia,Software - Application,969317240
ADES,Advanced Emissions Solutions,Pollution & Treatment Controls,59929755
ADEX,Adit EdTech Acquisition,Shell Companies,95475072
ADI,Analog Devices,Semiconductors,83676884193
ADIL,Adial Pharmaceuticals,Biotechnology,2825714
ADM,Archer-Daniels-Midland Company,Farm Products,38888808127
ADMA,ADMA Biologics,Biotechnology,820906900
ADN,Advent Technologies Holdings,Utilities - Renewable,28785986
ADNT,Adient,Auto Parts,3363212241
ADOC,Edoc Acquisition,Shell Companies,42005964
ADP,Automatic Data Processing,Staffing & Employment Services,90289927000
ADPT,Adaptive Biotechnologies,Biotechnology,718885610
ADRT,Ault Disruptive Technologies,Shell Companies,37256781
ADSE,ADS-TEC Energy,Electrical Equipment & Parts,318227508
ADSK,Autodesk,Software - Application,43603580720
ADT,ADT Inc.,Security & Protection Services,5647108974
ADTH,AdTheorent Holding Company,Advertising Agencies,105845875
ADTN,ADTRAN Holdings,Communication Equipment,573590322
ADTX,Aditxt,Biotechnology,1559710
ADUS,Addus HomeCare,Medical Care Facilities,1372898649
ADV,Advantage Solutions,Advertising Agencies,778917581
ADVM,Adverum Biotechnologies,Biotechnology,94044682
ADXN,Addex Therapeutics,Biotechnology,5307744
AE,Adams Resources & Energy,Oil & Gas Refining & Marketing,83137504
AEAE,AltEnergy Acquisition,Shell Companies,78184212
AEE,Ameren,Utilities - Regulated Electric,20628502500
AEG,Aegon,Insurance - Diversified,9714541957
AEHL,Antelope Enterprise Holdings,Building Products & Equipment,4462733
AEHR,Aehr Test Systems,Semiconductor Equipment & Materials,694285900
AEI,Alset EHome International,Real Estate - Development,12190358
AEIS,Advanced Energy Industries,Electrical Equipment & Parts,3454479250
AEL,American Equity Investment Life Holding Company,Insurance - Life,4217675437
AEM,Agnico Eagle Mines,Gold,24535325440
AEMD,Aethlon Medical,Medical Devices,4644201
AENT,Alliance Entertainment Holding,Entertainment,129830224
AENZ,Aenza,Engineering & Construction,171567214
AEO,American Eagle Outfitters,Apparel Retail,3659378520
AEON,AEON Biopharma,Biotechnology,177622888
AEP,American Electric Power Company,Utilities - Regulated Electric,41069830720
AER,AerCap Holdings,Rental & Leasing Services,13885404400
AES,The AES Corporation,Utilities - Diversified,11243070776
AESI,Atlas Energy Solutions,Oil & Gas Equipment & Services,1896000019
AEVA,Aeva Technologies,Auto Parts,137132398
AEY,ADDvantage Technologies Group,Electronics & Computer Distribution,4284995
AEYE,AudioEye,Software - Application,57260555
AEZS,Aeterna Zentaris,Biotechnology,7637497
AFAR,Aura FAT Projects Acquisition,Shell Companies,62268909
AFBI,Affinity Bancshares,Banks - Regional,90117787
AFCG,AFC Gamma,REIT - Specialty,227898778
AFG,American Financial Group,Insurance - Property & Casualty,9323115096
AFIB,Acutus Medical,Medical Devices,17850977
AFL,Aflac,Insurance - Life,48849719576
AFMD,Affimed,Biotechnology,54478870
AFRI,Forafric Global,Farm Products,297282846
AFRM,Affirm Holdings,Software - Infrastructure,6767220922
AFYA,Afya Limited,Education & Training Services,1602659880
AG,First Majestic Silver,Silver,1391324389
AGAE,Allied Gaming & Entertainment,Entertainment,33303870
AGBA,AGBA Acquisition,Shell Companies,30936640
AGCO,AGCO Corporation,Farm & Heavy Construction Machinery,8971336378
AGE,AgeX Therapeutics,Biotechnology,22766985
AGEN,Agenus,Biotechnology,320700383
AGFY,Agrify,Engineering & Construction,2645409
AGI,Alamos Gold,Gold,5323195595
AGIL,AgileThought,Software - Application,9107780
AGIO,Agios Pharmaceuticals,Biotechnology,1250012192
AGL,agilon health,Medical Care Facilities,5944365885
AGLE,Aeglea BioTherapeutics,Biotechnology,45793398
AGM,Federal Agricultural Mortgage,Credit Services,1713443644
AGM.A,Federal Agricultural Mortgage,Credit Services,1735823733
AGMH,AGM Group Holdings,Software - Application,37594940
AGNC,AGNC Investment,REIT - Mortgage,5410800000
AGO,Assured Guaranty,Insurance - Specialty,3838375449
AGR,Avangrid,Utilities - Regulated Electric,12396010806
AGRI,AgriFORCE Growing Systems,Farm Products,1257421
AGRO,Adecoagro,Farm Products,1188143100
AGRX,Agile Therapeutics,Drug Manufacturers - Specialty & Generic,3927191
AGS,PlayAGS,Gambling,295529619
AGTI,Agiliti,Health Information Services,811704638
AGX,Argan,Engineering & Construction,601072931
AGYS,Agilysys,Software - Application,2285119398
AHCO,AdaptHealth,Medical Devices,1152817820
AHG,Akso Health Group,Credit Services,26295900
AHH,Armada Hoffler Properties,REIT - Diversified,942064990
AHI,Advanced Human Imaging,Software - Application,15853530
AHT,Ashford Hospitality Trust,REIT - Hotel & Motel,99587935
AI,C3.ai,Information Technology Services,3379395380
AIB,AIB Acquisition,Shell Companies,41002378
AIG,American International Group,Insurance - Diversified,45376508040
AIH,Aesthetic Medical International Holdings Group,Medical Care Facilities,29009770
AIHS,Senmiao Technology,Credit Services,2138837
AIM,AIM ImmunoTech,Biotechnology,24466610
AIMAU,Aimfinity Investment I,Shell Companies,113400000
AIMD,Ainos,Biotechnology,12074097
AIN,Albany International,Textile Manufacturing,2723760000
AINC,Ashford,Asset Management,19222471
AIP,Arteris,Semiconductors,240251508
AIR,AAR Corp.,Aerospace & Defense,2221820250
AIRC,Apartment Income REIT,REIT - Residential,4542378560
AIRE,reAlpha Tech,Real Estate Services,414859013
AIRG,Airgain,Communication Equipment,32731360
AIRI,Air Industries Group,Aerospace & Defense,10165575
AIRS,AirSculpt Technologies,Medical Care Facilities,371373900
AIRT,Air T,Integrated Freight & Logistics,67626000
AIT,Applied Industrial Technologies,Industrial Distribution,6072983280
AIU,Meta Data,Education & Training Services,18188181142
AIV,Apartment Investment and Management Company,REIT - Residential,935757519
AIXI,Xiao-I,Software - Application,125361432
AIZ,Assurant,Insurance - Specialty,8669211450
AJG,Arthur J. Gallagher & Co.,Insurance Brokers,52321714569
AJX,Great Ajax,REIT - Mortgage,112812578
AKA,a.k.a. Brands Holding,Internet Retail,80879394
AKAM,Akamai Technologies,Software - Infrastructure,16460859632
AKAN,Akanda,Drug Manufacturers - Specialty & Generic,1748156
AKBA,Akebia Therapeutics,Biotechnology,177937899
AKLI,Akili,Health Information Services,33630341
AKO.A,Embotelladora Andina,Beverages - Non-Alcoholic,1839872082
AKO.B,Embotelladora Andina,Beverages - Non-Alcoholic,2054061240
AKR,Acadia Realty Trust,REIT - Retail,1597646549
AKRO,Akero Therapeutics,Biotechnology,810680076
AKTS,Akoustis Technologies,Communication Equipment,46741201
AKTX,"Akari Therapeutics,",Biotechnology,18270788
AKYA,Akoya Biosciences,Medical Instruments & Supplies,193805964
AL,Air Lease,Rental & Leasing Services,4089124410
ALAR,Alarum Technologies,Software - Infrastructure,19571772
ALB,Albemarle,Specialty Chemicals,15018069060
ALBT,Avalon GloboCare,Real Estate Services,7287188
ALC,Alcon,Medical Instruments & Supplies,36560412000
ALCC,AltC Acquisition,Shell Companies,658685041
ALCO,Alico,Farm Products,194982291
ALCY,Alchemy Investments Acquisition Corp 1,Shell Companies,155100000
ALDX,Aldeyra Therapeutics,Biotechnology,129496718
ALE,ALLETE,Utilities - Diversified,3213151236
ALEC,Alector,Biotechnology,492922188
ALEX,Alexander & Baldwin,REIT - Diversified,1214290000
ALG,Alamo Group,Farm & Heavy Construction Machinery,2172339135
ALGM,Allegro MicroSystems,Semiconductors,5019089840
ALGN,Align Technology,Medical Devices,15110812938
ALGS,Aligos Therapeutics,Biotechnology,33070677
ALGT,Allegiant Travel Company,Airlines,1195556551
ALHC,Alignment Healthcare,Healthcare Plans,1134198052
ALIM,Alimera Sciences,Drug Manufacturers - Specialty & Generic,177699732
ALIT,Alight,Software - Application,3940668926
ALK,Alaska Air Group,Airlines,4269637440
ALKS,Alkermes,Biotechnology,4136979792
ALKT,Alkami Technology,Software - Application,1885520209
ALL,The Allstate Corporation,Insurance - Property & Casualty,34457143020
ALLE,Allegion,Security & Protection Services,8943904200
ALLG,Allego,Auto Parts,396106082
ALLK,Allakos,Biotechnology,195564816
ALLO,Allogene Therapeutics,Biotechnology,586691000
ALLR,Allarity Therapeutics,Biotechnology,2343529
ALLT,Allot,Software - Infrastructure,59880640
ALLY,Ally Financial,Credit Services,8186238634
ALNT,Allient,Electronic Components,418679468
ALNY,Alnylam Pharmaceuticals,Biotechnology,20918917350
ALOR,ALSP Orchid Acquisition Corporation I,Shell Companies,79100928
ALOT,AstroNova,Computer Hardware,100455650
ALPN,Alpine Immune Sciences,Biotechnology,790668105
ALPP,Alpine 4 Holdings,Metal Fabrication,24947765
ALRM,Alarm.com Holdings,Software - Application,2611586213
ALRN,Aileron Therapeutics,Biotechnology,5667447
ALRS,Alerus Financial,Banks - Regional,358866498
ALSA,Alpha Star Acquisition,Shell Companies,137283288
ALSN,Allison Transmission Holdings,Auto Parts,4689893337
ALT,Altimmune,Biotechnology,144360736
ALTG,Alta Equipment Group,Rental & Leasing Services,335009835
ALTI,AlTi Global,Asset Management,833503517
ALTO,Alto Ingredients,Specialty Chemicals,350710668
ALTR,Altair Engineering,Software - Infrastructure,5340546413
ALTU,Altitude Acquisition,Shell Companies,89759942
ALUR,Allurion Technologies,Medical Devices,203523280
ALV,Autoliv,Auto Parts,8120311336
ALVO,Alvotech,Drug Manufacturers - Specialty & Generic,2362284311
ALVR,AlloVir,Biotechnology,191298240
ALX,Alexander's,REIT - Retail,993470051
ALXO,ALX Oncology Holdings,Biotechnology,414465792
ALYA,Alithya Group,Information Technology Services,128268360
ALZN,Alzamend Neuro,Biotechnology,12408326
AM,Antero Midstream,Oil & Gas Midstream,6197891857
AMAL,Amalgamated Financial,Banks - Regional,593032836
AMAM,Ambrx Biopharma,Biotechnology,672323275
AMAO,American Acquisition Opportunity,Shell Companies,24298934
AMAT,Applied Materials,Semiconductor Equipment & Materials,116905628736
AMBA,Ambarella,Semiconductor Equipment & Materials,2000290512
AMBC,Ambac Financial Group,Insurance - Specialty,566300000
AMBI,Ambipar Emergency Response,Waste Management,327036404
AMBO,Ambow Education Holding,Education & Training Services,4126933
AMBP,Ardagh Metal Packaging,Packaging & Containers,2169288000
AMC,AMC Entertainment Holdings,Entertainment,2126386954
AMCR,Amcor,Packaging & Containers,13177067817
AMCX,AMC Networks,Entertainment,652570485
AMD,Advanced Micro Devices,Semiconductors,181358959296
AME,AMETEK,Specialty Industrial Machinery,33153314400
AMED,Amedisys,Medical Care Facilities,2996715939
AMEH,Apollo Medical Holdings,Medical Care Facilities,1510994913
AMG,Affiliated Managers Group,Asset Management,4485302262
AMGN,Amgen,Drug Manufacturers - General,144348381701
AMH,American Homes 4 Rent,REIT - Residential,14637714520
AMK,AssetMark Financial Holdings,Asset Management,1797140400
AMKR,Amkor Technology,Semiconductors,5856532481
AMLI,American Lithium,Other Industrial Metals & Mining,261879110
AMLX,Amylyx Pharmaceuticals,Biotechnology,1241770937
AMN,AMN Healthcare Services,Medical Care Facilities,2550900915
AMNB,American National Bankshares,Banks - Regional,451949332
AMP,Ameriprise Financial,Asset Management,34455653240
AMPE,Ampio Pharmaceuticals,Biotechnology,2091594
AMPG,AmpliTech Group,Communication Equipment,17049314
AMPH,Amphastar Pharmaceuticals,Drug Manufacturers - Specialty & Generic,2276182404
AMPL,Amplitude,Software - Application,1268134446
AMPS,Altus Power,Utilities - Renewable,915782400
AMPX,Amprius Technologies,Electrical Equipment & Parts,289575662
AMPY,Amplify Energy,Oil & Gas E&P,271482985
AMR,Alpha Metallurgical Resources,Coking Coal,2939936769
AMRC,Ameresco,Engineering & Construction,1556105818
AMRK,A-Mark Precious Metals,Capital Markets,634549168
AMRN,Amarin Corporation,Biotechnology,297039328
AMRX,Amneal Pharmaceuticals,Drug Manufacturers - Specialty & Generic,1314078549
AMS,American Shared Hospital Services,Medical Care Facilities,15048040
AMSC,American Superconductor,Specialty Industrial Machinery,234709525
AMSF,AMERISAFE,Insurance - Specialty,989304400
AMST,Amesite,Software - Application,5593368
AMSWA,American Software,Software - Application,378223155
AMT,American Tower,REIT - Specialty,88837062525
AMTB,Amerant Bancorp,Banks - Regional,673374552
AMTD,AMTD IDEA Group,Asset Management,3603562995
AMTI,Applied Molecular Transport,Biotechnology,6386976
AMTX,Aemetis,Oil & Gas Refining & Marketing,188411345
AMWD,American Woodmark,"Furnishings, Fixtures & Appliances",1194270238
AMWL,American Well,Health Information Services,404237036
AMX,América Móvil,Telecom Services,54328473600
AMZN,Amazon.com,Internet Retail,1432292417741
AN,AutoNation,Auto & Truck Dealerships,5951169180
ANAB,AnaptysBio,Biotechnology,465344368
ANDE,The Andersons,Food Distribution,1781103594
ANEB,Anebulo Pharmaceuticals,Biotechnology,52291728
ANET,Arista Networks,Computer Hardware,65782864990
ANF,Abercrombie & Fitch Co.,Apparel Retail,3298390050
ANGH,Anghami,Entertainment,23446739
ANGI,Angi Inc.,Internet Content & Information,845494330
ANGO,AngioDynamics,Medical Instruments & Supplies,271355346
ANIK,Anika Therapeutics,Medical Devices,309008832
ANIP,ANI Pharmaceuticals,Drug Manufacturers - Specialty & Generic,1326972744
ANIX,Anixa Biosciences,Biotechnology,100045400
ANL,Adlai Nortye,Biotechnology,314021553
ANNX,Annexon,Biotechnology,137889010
ANSS,ANSYS,Software - Application,24973272265
ANTE,AirNet Technology,Telecom Services,7398631
ANTX,AN2 Therapeutics,Biotechnology,447375372
ANVS,Annovis Bio,Biotechnology,57408160
ANY,Sphere 3D,Software - Application,12019505
AOGO,Arogo Capital Acquisition,Shell Companies,46413529
AOMR,Angel Oak Mortgage,REIT - Mortgage,215117272
AON,Aon plc,Insurance Brokers,64725828480
AONC,American Oncology Network,Medical Care Facilities,223440256
AORT,Artivion,Medical Devices,583996354
AOS,A. O. Smith,Specialty Industrial Machinery,10642403057
AOSL,Alpha and Omega Semiconductor,Semiconductors,715099603
AOUT,American Outdoor Brands,Leisure,116156082
AP,Ampco-Pittsburgh,Metal Fabrication,53637390
APA,APA Corporation,Oil & Gas E&P,12278309080
APAC,StoneBridge Acquisition,Shell Companies,82279748
APAM,Artisan Partners Asset Management,Asset Management,2484004528
APCA,AP Acquisition,Shell Companies,237403125
APCX,AppTech Payments,Software - Infrastructure,43813390
APD,Air Products and Chemicals,Specialty Chemicals,65134084454
APDN,Applied DNA Sciences,Diagnostics & Research,11350214
APEI,American Public Education,Education & Training Services,83361936
APG,APi Group,Engineering & Construction,6517125040
APGB,Apollo Strategic Growth Capital II,Shell Companies,372345438
APGE,Apogee Therapeutics,Biotechnology,966865663
APH,Amphenol,Electronic Components,50718740056
API,Agora,Software - Application,307269830
APLD,Applied Digital,Capital Markets,580398000
APLE,Apple Hospitality REIT,REIT - Hotel & Motel,3857551275
APLM,Apollomics,Biotechnology,88881280
APLS,Apellis Pharmaceuticals,Biotechnology,5513623710
APLT,Applied Therapeutics,Biotechnology,149604354
APM,Aptorum Group,Biotechnology,6716339
APO,Apollo Global Management,Asset Management,48195771311
APOG,Apogee Enterprises,Building Products & Equipment,984870488
APP,AppLovin,Software - Application,13657948095
APPF,AppFolio,Software - Application,7059750066
APPN,Appian,Software - Infrastructure,2917364111
APPS,Digital Turbine,Software - Application,528719420
APRE,Aprea Therapeutics,Biotechnology,14946680
APRN,Blue Apron Holdings,Internet Retail,83255809
APT,Alpha Pro Tech,Building Products & Equipment,47414536
APTM,Alpha Partners Technology Merger,Shell Companies,241168185
APTO,Aptose Biosciences,Biotechnology,21904680
APTV,Aptiv,Auto Parts,21918860000
APVO,Aptevo Therapeutics,Biotechnology,2998467
APWC,Asia Pacific Wire & Cable Corporation,Electrical Equipment & Parts,26594898
APXI,APx Acquisition I,Shell Companies,119994864
APYX,Apyx Medical,Medical Devices,90767018
AQB,AquaBounty Technologies,Farm Products,10525335
AQMS,Aqua Metals,Waste Management,100716777
AQN,Algonquin Power & Utilities,Utilities - Renewable,3960674704
AQST,Aquestive Therapeutics,Drug Manufacturers - Specialty & Generic,106763680
AQU,Aquaron Acquisition,Shell Companies,48582111
AR,Antero Resources,Oil & Gas E&P,9163586560
ARAV,Aravive,Biotechnology,10298764
ARAY,Accuray,Medical Devices,270452000
ARBB,ARB IOT Group,Information Technology Services,25380000
ARBE,Arbe Robotics,Software - Infrastructure,157332925
ARBK,Argo Blockchain,Capital Markets,64239000
ARC,ARC Document Solutions,Specialty Business Services,124946838
ARCB,ArcBest,Trucking,2855976000
ARCC,Ares Capital,Asset Management,11195131263
ARCE,Arco Platform,Education & Training Services,919473772
ARCH,Arch Resources,Thermal Coal,2766446700
ARCO,Arcos Dorados Holdings,Restaurants,2096017210
ARCT,Arcturus Therapeutics Holdings,Biotechnology,520798630
ARDX,Ardelyx,Biotechnology,875809292
ARE,Alexandria Real Estate Equities,REIT - Office,17780658819
AREB,American Rebel Holdings,Footwear & Accessories,1645686
AREC,American Resources,Coking Coal,108716771
AREN,The Arena Group Holdings,Internet Content & Information,91832874
ARES,Ares Management,Asset Management,32604955436
ARGO,Argo Group International Holdings,Insurance - Property & Casualty,1051725204
ARGX,argenx SE,Biotechnology,29266258512
ARHS,Arhaus,Home Improvement Retail,1207828020
ARI,Apollo Commercial Real Estate Finance,REIT - Mortgage,1516717604
ARIS,Aris Water Solutions,Utilities - Regulated Water,552078127
ARIZ,Arisz Acquisition,Shell Companies,55321198
ARKO,Arko Corp.,Specialty Retail,937390300
ARKR,Ark Restaurants,Restaurants,55359898
ARL,American Realty Investors,Real Estate - Development,212721840
ARLO,Arlo Technologies,Security & Protection Services,866245592
ARLP,"Alliance Resource Partners,",Thermal Coal,3051000000
ARM,Arm Holdings,Semiconductors,54885019200
ARMK,Aramark,Specialty Business Services,7400767500
ARMN,Aris Mining,Gold,354764984
ARMP,Armata Pharmaceuticals,Biotechnology,78396241
AROC,Archrock,Oil & Gas Equipment & Services,2234470814
AROW,Arrow Financial,Banks - Regional,392138500
ARQQ,Arqit Quantum,Software - Infrastructure,59182640
ARQT,Arcutis Biotherapeutics,Biotechnology,229735760
ARR,ARMOUR Residential REIT,REIT - Mortgage,789805832
ARRW,Arrowroot Acquisition,Shell Companies,122033317
ARRY,Array Technologies,Solar,2738899100
ARTE,Artemis Strategic Investment,Shell Companies,76683100
ARTL,Artelo Biosciences,Biotechnology,3837968
ARTNA,Artesian Resources,Utilities - Regulated Water,434465583
ARTW,Art's-Way Manufacturing Co.,Farm & Heavy Construction Machinery,10219523
ARVL,Arrival,Auto Manufacturers,23772320
ARVN,Arvinas,Biotechnology,937057200
ARW,Arrow Electronics,Electronics & Computer Distribution,6732391470
ARWR,Arrowhead Pharmaceuticals,Biotechnology,3017482950
ARYD,ARYA Sciences Acquisition Corp IV,Shell Companies,86090793
ASA,ASA Gold and Precious Metals,Asset Management,266007721
ASAI,Sendas Distribuidora,Grocery Stores,3297322808
ASAN,Asana,Software - Application,4459463217
ASB,Associated Banc-Corp,Banks - Regional,2662581600
ASC,Ardmore Shipping,Marine Shipping,564097896
ASCA,A SPAC I Acquisition,Shell Companies,58988096
ASCB,A SPAC II Acquisition,Shell Companies,79895580
ASGN,ASGN Incorporated,Information Technology Services,4138200000
ASH,Ashland,Specialty Chemicals,3976301600
ASIX,AdvanSix,Chemicals,704275028
ASLE,AerSale,Airports & Air Services,833579712
ASLN,ASLAN Pharmaceuticals,Biotechnology,18339750
ASM,Avino Silver & Gold Mines,Other Precious Metals & Mining,58628640
ASMB,Assembly Biosciences,Biotechnology,45887542
ASML,ASML Holding,Semiconductor Equipment & Materials,252724094000
ASND,Ascendis Pharma,Biotechnology,5351832810
ASNS,Actelis Networks,Communication Equipment,3438931
ASO,Academy Sports and Outdoors,Specialty Retail,3640652306
ASPI,ASP Isotopes,Chemicals,39254985
ASPN,Aspen Aerogels,Building Products & Equipment,634674896
ASPS,Altisource Portfolio Solutions,Real Estate Services,107559956
ASR,"Grupo Aeroportuario del Sureste, S. A. B. de C. V.",Airports & Air Services,6823800000
ASRT,Assertio Holdings,Drug Manufacturers - Specialty & Generic,217873431
ASRV,AmeriServ Financial,Banks - Regional,44754453
ASST,Asset Entities,Internet Content & Information,4816350
ASTC,Astrotech,Aerospace & Defense,15981587
ASTE,Astec Industries,Farm & Heavy Construction Machinery,708245090
ASTI,Ascent Solar Technologies,Solar,1557957
ASTL,Algoma Steel Group,Steel,765626170
ASTR,Astra Space,Aerospace & Defense,20435046
ASTS,AST SpaceMobile,Telecom Services,901174500
ASUR,Asure Software,Software - Application,210152970
ASX,ASE Technology Holding Co.,Semiconductors,17293648515
ASXC,Asensus Surgical,Medical Devices,58289989
ASYS,Amtech Systems,Semiconductor Equipment & Materials,104980434
ATAI,Atai Life Sciences,Biotechnology,219133200
ATAK,Aurora Technology Acquisition,Shell Companies,116517079
ATAT,Atour Lifestyle Holdings,Lodging,2550264550
ATEC,Alphatec Holdings,Medical Devices,1394652923
ATEK,Athena Technology Acquisition Corp. II,Shell Companies,129715740
ATEN,A10 Networks,Software - Infrastructure,810027721
ATER,Aterian,"Furnishings, Fixtures & Appliances",27379989
ATEX,Anterix,Telecom Services,599034440
ATGE,Adtalem Global Education,Education & Training Services,2198533200
ATGL,Alpha Technology Group,Information Technology Services,88350000
ATHA,Athira Pharma,Biotechnology,61648452
ATHE,Alterity Therapeutics,Biotechnology,9759600
ATHM,Autohome,Internet Content & Information,3314671800
ATI,ATI Inc.,Metal Fabrication,5361994500
ATIF,ATIF Holdings,Capital Markets,10613301
ATIP,ATI Physical Therapy,Medical Care Facilities,32510955
ATKR,Atkore,Electrical Equipment & Parts,4989915414
ATLC,Atlanticus Holdings,Credit Services,432933000
ATLO,Ames National,Banks - Regional,160150548
ATLX,Atlas Lithium,Other Precious Metals & Mining,239684008
ATMC,AlphaTime Acquisition,Shell Companies,96575598
ATMU,Atmus Filtration Technologies,Pollution & Treatment Controls,1691778318
ATMV,AlphaVest Acquisition,Shell Companies,97496910
ATNF,180 Life Sciences,Biotechnology,2558378
ATNI,ATN International,Telecom Services,528588984
ATNM,Actinium Pharmaceuticals,Biotechnology,128508576
ATO,Atmos Energy,Utilities - Regulated Gas,16552028380
ATOM,Atomera,Semiconductor Equipment & Materials,157559690
ATOS,Atossa Therapeutics,Biotechnology,88049500
ATPC,Agape ATP,Packaged Foods,93293420
ATR,AptarGroup,Medical Instruments & Supplies,8227610485
ATRA,Atara Biotherapeutics,Biotechnology,130421580
ATRC,AtriCure,Medical Instruments & Supplies,1750999302
ATRI,Atrion,Medical Instruments & Supplies,592650120
ATRO,Astronics,Aerospace & Defense,519140428
ATS,ATS Corporation,Specialty Industrial Machinery,3424554752
ATSG,Air Transport Services Group,Airlines,1459095944
ATUS,Altice USA,Telecom Services,1318714146
ATXG,Addentax Group,Integrated Freight & Logistics,5454625
ATXI,Avenue Therapeutics,Biotechnology,2242848
ATXS,Astria Therapeutics,Biotechnology,179295324
AU,AngloGold Ashanti,Gold,7999177040
AUB,Atlantic Union Bankshares,Banks - Regional,2399157357
AUBN,Auburn National Bancorporation,Banks - Regional,73435682
